Bangla,Chatgaya
আমাদের ফিরতে দেরি হলে সন্ধ্যার আগে বাইরে থেকে সব কাপড় ঘরে ঢুকিয়ে ফেলিস,আরাত্তুন ফিরতে দেরি অইলি আজুইন্নের আগে বাইরেত্তুন বিয়াক হর ঢুকই ফেলাইস
এখন আম্মু বাজারে গেছে আর আমি রান্না করছি,এহন আম্মু বাজারুত গেইয়্যি আর আঁই রান্না গরির
তোমরা ভাই-বোন কয়জন?,তোঁয়ারা ভাই-বইন হতোজন?
"বড়ো ভাই, কি অবস্থা আপনার?","বদ্দা, কি অবস্থা অঁনোর?"
"ম্যাম, আমার বন্ধু অসুস্থ, তাই আজ ক্লাস করতে পারেনি","ম্যাম, আঁর বন্ধু অসুস্থ, এতেল্লে আজিয়ে ক্লাস গরিত নো পারে"
"আমাদের সময় কম, যা করার তারাতারি করতে হবে","আঁরার সময় হম, যা গরার হারা গরন ফরিবু"
বলটি যদি আমার দিকে পাস দিতি তাহলে গোল দিতে পারতাম,বল ইবে যদি আঁর মিক্কে পাস দিতি তইলি গোল দিত ফাইত্তাম
"বেলকনিতে অনেক ময়লা হয়ে গেছে, ধুয়ে দিতে হবে","বেলকনিত বৌত হাচারা অই গেইয়্যি, ধুই দন ফরিবু"
"বন্ধু চল, সামনের মাসে একটা টুর দিই","বন্ধু চল, সামনোর মাসুত উজ্ঞো টুর দি"
শীতকালে ভাপা পিঠা খেতে অনেক মজা,শীতহালে ধু পিডে হাইতে বৌত মজা
এটা কীভাবে খায় যে?,ইবে কেনে হায় দে?
শুনেছি তোমার বড় ভাইয়ের নাকি চাকরি হয়েছে?,উইন্নি তোঁয়ার বদ্দার বলে চঅরি অইয়্যি?
তুই এগুলো নিয়েছিস কত দিন হচ্ছে?,তুই এগিন লইয়্যুস হতদিন অর?
"স্যার, আমার আবেদনটা একটু ওপরে পাঠিয়ে দিন, অনেক দিন ধরে আটকে আছে","স্যার, আঁর আবেদন ইয়েন এক্কানা উরে পাঠাই দন, বৌতদিন ধরি আটকি আছে"
তুমি যেটা বলবে ওটা করবো,তুঁই যিইয়্যেন হইবে ইয়েন গইজ্জুম
"আল্লাহর অনেক বড় রহমত, আজকে অনেক বড় এক্সিডেন্ট থেকে বেঁচে গেছি","আল্লার বৌত বরো রহমত, আজিয়ে বৌত বরো এক্সিডেন্ট উত্তুন বাচি গেই"
"ঢাকনা খুলিও না, পানি পড়ে যাবে","ঢাকনা ন খুইল্লো, পানি ফরি যাইবু"
আজকে ঘরে মেহমান আসছে তাই স্কুলে যাব না,আজিয়ে ঘরোত মেমান আইয়্যির এতেল্লে স্কুলোত যাইতাম নো
"আমি সর্বোচ্চ ১০টা পর্যন্ত থাকতে পারব, দেরি হলে বাসায় ঢুকতে পারব না","আঁই সর্বোচ্চ ১০টা পর্যন্ত থাহিত ফাইজ্জুম, দেরি অইলি বাসাত ঢুকিত ন পাইজ্জুম"
"ওরা অনেক কিছুই বলবে, ওদের কথায় কান দিয়ে লাভ নেই","ইতারা বৌত কিছুই হইবু, ইতারার হথাত হান দি লাভ নেই"
"পুরো মার্কেট খুঁজেছি, তারপরও এই ডিজাইনের কোন শাড়ি পাই নাই","ফুরো মার্কেট তোওয়াই, তারপরও এই ডিজাইনুর হনো শারি ন ফাই"
গাধার মতো কথা বলিস না,গাধার মতন হথা ন হইস
"আজকে সকাল থেকেই আকাশ মেঘলা, মনে হচ্ছে বিকেলের দিকে ভারী বৃষ্টি হবে","আজিয়ে বেইন্নেত্তুন আকাশ মৌলো, মনে অদ্দে বিকেলুর ইক্কে বেশ গরি বৃষ্টি অইবু"
কাল সারারাত ঝুম ঝুম বৃষ্টি পড়েছিল,হালিয়ে আঁরারাইত ঝুম ঝুম বৃষ্টি ফইজ্জিল
শরীরটা বেশি দুর্বল লাগছে আজ,শরীল ইয়েন বেশি দুর্বল লাগের আজিয়ে
আমি নাস্তার পরে চা খেতে পছন্দ করি,আঁই নাস্তার পরে চা হাইতাম পছন্দ গরি
জুতাগুলো ভাই আমরা ঢাকা থেকে অর্ডার করে আনি,জুতা এগিন বদ্দা আঁরা ঢাহাত্তুন অর্ডার গরি আনি
"তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব","তুঁই এক্কানা অপেক্ষা গরো, আঁরা একলগে যাইয়্যুম"
আসুন আমরা আমাদের ছোট ছোট প্রচেষ্টার মাধ্যমে একটি বড় পার্থক্য তৈরি করার চেষ্টা করি,আইয়্যুন আঁরা আঁরার ছোডো ছোডো প্রচেষ্টার মাইধ্যমে এক্কান বরো পার্থইক্যো তৈরি গরিবের চেষ্টা গরি
"তুমি একটু এদিকে আসো, তোমার সঙ্গে একটু কথা বলতে চায়","তুঁই এক্কানা ইক্কে আইয়্যো, তোঁয়ার লগে এক্কানা হতা হইতাম চায়"
"এই ছেলেটা প্রতিবার জিনিস দেখে চলে যায়, কোনো সময় কিছু কিনে না","এই ফুওয়া ইবে ফইত্তুবার জিনিস সাই চলি যায়, হনো সময় কিছু ন কিনে"
"বিশ্বাস জিনিসটা অনেক মূল্যবান, একবার ভেঙে গেলে শেষ","বিশ্বেস জিনিস ইয়েন বৌত দামি, একবার ভাঙি গেলি শেষ"
আমি ছোটবেলায় তোদের মতো এত দুষ্টু ছিলাম না,আঁই গুরো থাকতে তোরার মতন এল্লেত জারগো ন আছিলাম
খাবারগুলো ওদের দুজনকে ভাগ করে দাও যেন একজন আরেকজনের সাথে ঝগড়া না করে,হানা এগিন ইতারা দুনুজনোরে ভাগ গরি দও যেন একজন আরেকজনোর লগে হইজ্জে ন গরে
"যারা প্রতিদিন দেরি করে ঘুমায়, তাদের ব্রেইনের ক্ষতি হয়",যারা ফইত্তুদিন দেরি গরি ঘুম যায় ইতারাত্তুন ব্রেইনুর হতি অয়
"ধোঁয়া উঠছে রান্নাঘর থেকে, মা মনে হয় ভাত বসিয়েছেন","ধুওয়ো উডের বসহানাত্তুন, আম্মু মনে অয় ভাত বুওয়াইয়্যি"
"আসলে সমস্যাটা আমার না, আমার বন্ধুর সমস্যা","আসলে সমস্যা ইয়েন আঁর ন, আঁর বন্ধুর সমস্যা"
"আর একটু বাকি, হয়ে যাবে এখন","আর এক্কানা বাকি, অই যাইবু এহন"
"আপনি একটু বসুন, আমি চা নিয়ে আসছি","অঁনে এক্কানা বইয়্যুন, আঁই চা লই আইর"
"দেওয়ালের ওপর কাপড় একটা শুকাতে দিয়েছিলাম, পরে গিয়ে দেখি কেউ ওটা নিচে ফেলে দিয়েছে","দেওয়ালুর উদ্দি হর উজ্ঞো ফুয়ত দিলাম, ফরুদ্দি যাই সাইদ্দি হনে ইয়েন নিচে ফেলাই দিইয়্যি"
নানুর বাড়ির গাছের বরই অনেক মিষ্টি,নানারো বারির গাছোর বরই বৌত মিডে
আপনি চাটগাইয়া কথা বলতে পারেন না?,অঁনে চাটগাইয়া হতা হইত নপারন?
"আমার মন-মেজাজ ভালো না, আমাকে একটু একা থাকতে দাও","আঁর মন-মেজাজ ভালা ন, আঁরে এক্কানা এহেল্লে থাইকতো দও"
"আগে আমি কিছুক্ষণ বিশ্রাম নিই, তারপর তোমার সঙ্গে কথা বলব","আগে আঁই হতক্ষন জিরেই, তারপর তোঁয়ার লগে হথা হইয়্যুম"
যদি তুই তাড়াতাড়ি ধনী হতে ছাস তাহলে জব না করে ব্যাবসা কর,যদি তুই তারাতারি বরোলোক অইতো ছস তইলি চঅরি নগোরি ব্যাবসা গর
"আজকে বেশি ঠান্ডা, সেজন্য গরম পানি দিয়ে গোসল করব","আজিয়ে বেশি ঠান্ডা, এতেল্লে গরম পানি দি গোসল গইজ্জুম"
সামির কোথায়? সে মাদরাসায় যাবে না আজ?,সামির হনডে? ইতে মাদরাসাত ন যাইবু আজিয়ে?
"রাস্তায় অনেক জ্যাম, আমার আসতে দেরি হবে","রাস্তাত বৌত জ্যাম, আত্তুন আইতে দেরি অইবু"
কিছু কিছু মানুষের থেকে কুকুর অনেক বিশ্বস্ত,কিছু কিছু মানুষ উত্তুন কুত্তো বৌত বিশ্বস্ত
"আমার কথার তো কোনো গুরুত্ব নেই, আপনি তো আপনার ছেলের কথাই শুনবেন","আঁর হতার তো হনো গুরুত্ব নেই, অঁনে তো অঁনোর ফুওয়ার হতাই উনিবেন"
গত বছরের তুলনায় এ বছর কাপড়ের দাম অনেক বেশি,গত বছরুর তুলনায় এবছর হর উর দাম বৌত বেশি
"বেশি রাত জাগিস না, জলদি ঘুমিয়ে যা","বেশি রাইত ন জাগিস, হারা ঘুম যাগো"
"বাইরে বেশি বজ্রপাত হচ্ছে, এখন বের হওয়া ঠিক হবে না","বাইরে বেশি টাডাল পরের, এহন বাইর অন ঠিক ন অইবু"
কালো রঙ আমার পছন্দের রঙ,হালা রঙ আঁর পছন্দর রঙ
"তোমাকে যেটা বলি, সবসময় সেটার উল্টোটা বলো","তোঁয়ারে যিয়েন হই, সবসময় ইয়েনুর উল্ডো ইয়েন হও"
এতোদিন পর আমার খবর নিচ্ছো! একবারের জন্য আমার কথা মনেও পড়ে নাই,এতোদিন পর আঁর হবর লইতে লাইজ্ঞো! একবারোর লাই আঁর হতা মনোত'অ নো পরে
মাথা ঠাণ্ডা হলে তারপর কথা বলব,মাথা ঠাণ্ডা অইলি তারপর হতা হইয়্যুম
"কেন করব না, অবশ্যই করব","ন গইত্তাম কা, অবশ্যই গইজ্জুম"
"ঘরের অবস্থা ভালো না, পড়াশোনার পাশাপাশি পার্টটাইম কাজ করতে হবে","ঘরুর অবস্থা ভালা নো, পরালেহার পাশাপাশি পার্টটাইম হাজ গরন ফরিবু"
"আমার নাম মাসুম না, আমার নাম হলো সিহাব","আঁর নাম মাসুম নো, আঁর নাম অইলু দে সিহাব"
একবার পাহাড়ে উঠতে গিয়ে হোঁচট খেয়ে পড়ে গিয়েছিলাম,একবার ফারুত উইটতু যাই উচট হায় ফরি গেইলাম
"বাবা, তুমি যাওয়ার সময় আমাকে একটু বাজারে নামিয়ে দিও","আব্বু, তুঁই যাইবের সমত আঁরে এক্কানা বাজারুত নামাই দিও"
আমরা এই রাস্তা দিয়ে না গিয়ে অন্য রাস্তা দিয়ে গেলে আরও তাড়াতাড়ি পৌঁছাব,আঁরা এই রাস্তা দি ন যাই অন্য রাস্তা দি গেলি আরো তারাতারাই পৌইচ্ছুম
"পুকুরের পানিতে বেশিক্ষণ থাকিও না, অসুখ চলে আসবে","ফইরোর ফানিত বেশিক্ষণ ন থাইক্কো, অসুখ চলি আইবু"
"চলো, আজকে আমরা ছাদে শুয়ে শুয়ে আকাশের তারা গুনি","চলো, আজিয়ে আঁরা ছাদুত শুয় শুয় আকাশুর তারা গনি"
এবার আমাদের জমিতে অনেক কৃষক কাজ করছেন,এবার আঁরার জবিনুত বৌত কৃষক হাজ গরের
"আম্মু, আমার জন্য একটু ভাত বেড়ে দাও, অনেক ক্ষুধা লেগেছে","আম্মু, আঁর লাই এক্কানা ভাত বারি দও, বৌত ভুক গেইজ্ঞি"
"আমি যদি আরেকবার তোকে বিড়ি খেতে দেখি, তাহলে তোর আব্বুকে বলে দেব","আঁই যদি আরেকবার তুরে বিরি হাইতু দেহি, তইলি তুর আব্বুরে হই দিয়্যুম"
"চাচা, গাড়ি চালানোর সময় একটু স্লো করুন, রাস্তাটা একটু খারাপ","চাচা, গারি চালাইবের সমত এক্কানা স্লো গরোন, রাস্তা ইবে এক্কানা হারাপ"
"তুই কি এখন যাবি, নাকি আমার কাছে মার খাবি?","তুই কি এহন যাবি, নাকি আঁর হাছে মাইর হাবি?"
শরীরকে সুস্থ রাখার জন্য ঘুম খুবই জরুরি,শরীল উরে সুস্থ রাহিবের লাই ঘুম বেশি জরুরি
"রান্না মাত্র শেষ হলো, এখন খেয়ে ফেলবেন?","রান্না মাত্র শেষ অইয়্যি, এহন হাই ফেলাইবেন?"
দুপুরে কি দিয়ে ভাত খেয়েছো?,দুইজ্জে কি দি ভাত হাইয়্যো?
ছোটবেলায় আপুদের সাথে কাদা মাটি দিয়ে নানা রকম জিনিস বানাতাম,গুরো থাকতে আফা তারার লগে ফুট দি নানা রহম জিনিস বানাইতাম
"কয়েকদিন ধরে কাশি থামছে না, এই কারণে রাতে ঘুমাতে পারছি না","হয়েকদিন ধরি হাশি ন থামের, এই হারনে রাতিয়ে ঘুম যাইত ন পারির"
এগুলো কি পিঠা? চিতই পিঠা এখনো আছে?,"এগুন কি পিডে, চিতল পিডে এহনো আছে?"
বাসে অনেকক্ষণ ধরে যাত্রা করলে আমার বমি আসে,বাসুত বৌত হতক্ষন ধরি যাত্রা গরিলি আত্তুন বুমি আইয়্যি
মাঝে মাঝে আম্মুর সাথে অনেক ঝগড়া হয়,মাঝে মাঝে আম্মুর লগে বৌত হইজ্জে অই
বাইরের খাবার থেকে ঘরের খাবার বেশি নিরাপদ,বাইরোর হানাত্তুন বর ঘরোর হানা বেশি নিরাপদ
"ওর কথায় কিছু মনে করিস না, ওর মাথায় একটু সমস্যা আছে","ইতের হথায় কিছু মনে ন গরিস, ইতের মাথাত এক্কানা সমস্যা আছে"
মেয়েটা হাত মোজা পড়েছিল,মেইফুওয়া ইবে আত মৌজো ফইজ্জিল
"তোমার ছেলে অনেক দুষ্টামি করে, ও আমার কোনো কথা শোনে না","তোঁয়ার ফুওয়া বৌত জারগই গরে, ইতে আঁর হনো হতা নো উনে"
"তোমার চেহেরা দেখে আমি বুঝছি, একদম শুকায় গেছে","তোঁয়ার চিয়ারা দেহি আঁই বুইজ্জি, এব্বেরে পুয়াই গেইয়্যি"
তারেক আমাকে বলেছিল তুমি আসবে,তারেক আঁরে হইয়্যিল দে তুঁই আইবে
সামিরা কোথায়? সে যাবে না বিয়েতে?,সামিরা হনডে? ইতি ন যাইবু বিয়েত?
"পাশের বাড়ির ফাহিম কত ভালো রেজাল্ট করেছে, ওর পা ধুয়ে পানি খা","পাশুর বারির ফাহিম হত ভালা রেজাল্ট গইজ্জি, ইতের টেং ধুই পানি হা"
তুই না আসলে বন্ধু আমি রাগ করব,তুই নো আইলি বন্ধু আই গুসসা অইয়্যুম
আমার কুকুর অনেক ভাল লাগে,আত্তুন কুত্তো বৌত ভালা লাগে
"আজকে ছোট আপুর শ্বশুরবাড়ি থেকে মেহমান আসবে, তাই আম্মু সকাল থেকে অনেক ব্যস্ত","আজিয়ে ছোডো আফার অরো বারিত্তুন মেমান আইবু, এতেল্লে আম্মু বেইন্নেত্তুন বৌত ব্যস্ত"
"আপনারা এত এত ভাড়া নেন, কিন্তু খাবারের মান ভালো না","অঁনেরা এদুজ্ঞুন এদুজ্ঞুন ভারা লন, কিন্তু হানার মান ভালা ন"
কুকুরটাকে ঘর থেকে বাহিরে নিয়ে যাও তো,কুত্তো ইবেরে ঘরুত্তুন বাদ্দি লই যও তো
বাইরের রোদ থেকে ঘরে এসে ঠিকমতো দেখতে পারছি না,বাইরুর রইদুত্তুন ঘরুত আই ঠিকমতো ন দেহির
বৃষ্টিতে ভিজে এখন জ্বর চলে আসছে,বৃষ্টিত ভিজি এহন জ্বর চলি আইসসি
"এই প্রকল্পটি শুধু আমাদের নয়, বরং আগামী প্রজন্মের জন্য একটি উজ্জ্বল ভবিষ্যৎ তৈরি করবে","এই  প্রকল্প ইবে শুধু আঁরার নো, বরং আগামী প্রজন্মোর লাই এক্কান উজ্জল ভবিষ্যৎ তৈরি গরিবো"
"কিছু খেয়ে একটু ঘুমা, বাইরে কোথাও যাস না","কিছু হাই রে এক্কানা ঘুম যা, বাদ্দি হনোমিক্কে ন যাইস"
আজকে আম্মু পিঠা বানাচ্ছে,আজিয়ে আম্মু পিডে বানার
"আমি গাধা দেখিনি, কিন্তু তোকে দেখেছি","আঁই গাধা ন দেহি, কিন্তু তোরে দেইক্কি"
"চাকরি একটা চলে গেছে তো কী হয়েছে, আল্লাহ চাইলে আরও ভালো চাকরি আসবে","চঅরি এক্কান চলি গেইয়্যি তো কী অইয়্যি, আল্লাহ চাইলি আরো ভালা চঅরি আইবু"
আমাদের নবী হযরত মুহাম্মদ সাঃ আমাদেরকে অনেক ভালোবাসেন,আঁরার নবী হযরত মুহাম্মদ সাঃ আঁরারে বৌত ভালোবাসে
"আমার বাসে ভালো লাগে না, ট্রেনে যাব চিন্তা করছি","আত্তুন বাসুত ভালা ন লাগে, ট্রেনুত যাইয়্যুম চিন্তে গরির"
"এগুলো এখন গরম গরম খেয়ে নাও, মন ভালো হয়ে যাবে","এগিন এহন গরম গরম হাই লও, মন ভালা অই যাইবু"
ছেলেটা শুধু এদিক সেদিক ঘুরছে,ফুওয়া ইবে উধো ইক্কেত্তুন উইক্কে ঘুরের
"মনির আমাকে বলেছিল পারবে, কিন্তু এখন এমন কেন বলল বুঝছি না","মনির আঁরে হইয়্যিল ফারিবু, কিন্তু এহন এল্লেত কা হর ন বুঝির"
"তোর কথা ঠিক, আমি বুঝিনি প্রথমে","তুর হতা ঠিক, আঁই নো বুঝিদি পইল্লে"
"আপনি বিয়ের জন্য একদম পেকে গেছেন, এবার জলদি বিয়েটা করে নিন","অঁনে বিয়ের লাই এব্বেরে পাগি গেইয়্যুন, এবার জলদি বিয়েগান গরি লন"
"আমাকে কী করতে হবে বল, আমি আমার পরিবারের জন্য সবকিছু করতে রাজি আছি","আত্তুন কি গরন ফরিবু হ, আঁই আঁর পরিবারোর লাই বিয়াক কিছু গইত্তে রাজি আছি"
আমি আর করিম মার্কেটে যাচ্ছি,আঁই আর করিম মার্কেটুত যাইর
এত বেশি দাম বললে তো বিক্রি করতে পারবেন না,এল্লেত বেশি দাম হইলি তো বেচিত ন ফারিবেন
"ক্রিকেটে ভারত অনেক ভালো খেলে, কিন্তু ফুটবলে ভালো না","ক্রিকেটুত ভারত বৌত ভালা খেলে, কিন্তু ফুটবলুত ভালা ন"
"তখন আমি দৌড়াচ্ছিলাম, তাই তোমাকে দেখিনি","তহন আঁই দূরিদ্দি, এতেল্লে তোঁয়ারে ন দেহি"
"আমি তোর মালিক, তোকে আমার কথা শুনতেই হবে","আঁই তোর মালিক, তোরতুন আঁর হতা উননই ফরিবু"
শীতকালে পুকুরে নেমে গোসল করা অনেক বিরক্তিকর,শীতহালে ফইরোত নামি গোসল গরন বৌত বিরক্তিকর
"গত দুই দিন ধরে গায়ে অনেক জ্বর, কিছু খেতে পারছি না","গত দুদিন ধরি গা'আত বৌত জ্বর, কিছু হাইত ন পারির"
উনার কি আমার কথা এখনো মনে আছে?,ইবেত্তুন কি আঁর হতা এহনো মনোত আছে?
প্রতিদিন নিয়ম করে দাঁত মাজা উচিত,ফইত্তুদিন নিয়ম গরি দাত মাজন উচিত
আমি কি বলতে চাচ্ছি সেটা শুনো আগে,আঁই কি হইতাম চাইর ইয়েন উনো আগে
"আন্টি বলল, তুই নাকি শীতকালে গোসল করিস না?",আন্টি হইয়্যি তুই বলে শীতহালে গোসল ন গরস?
"যাওয়ার সময় আমাকে বলিও, আমিও যাব তোমার সাথে","যাইবের সমোত আঁরেও হইয়্যো, আঁই ও যাইয়্যুম তোঁয়ার লগে"
"টিভির খবরে দেখেছিলাম, আমাদের এলাকায় ১০ নম্বর মহাবিপদ সংকেত দিয়েছে","টিভির হবোরত দেইক্কিলাম, আঁরার এলাকাত ১০ নম্বর মহাবিপদ সংকেত দিইয়্যি"
এই ট্রেনে কি খাবারের ব্যবস্থা আছে? নাকি কিনে নিয়ে যেতে হবে?,এই ট্রেনুত কি হানার ব্যবস্থা আছে? নাকি কিনি লই যন ফরিবু?
"ভাবি, মনে হয় বেশি টেনশন দেই, মাথার চুল তো সব পড়ে যাচ্ছে","ভাবি মনে অয় বেশি টেনশন দেই, মাথার চুল তো বিয়াক পরি যার"
১০টা খারাপ বন্ধুর চেয়ে একটা ভালো বন্ধু হলেই যথেষ্ট,দশশো হারাপ বন্ধুর চাইতে উজ্ঞো ভালা বন্ধু অইলিই যথেষ্ট
"ওকে দেখলে আমার মাথা গরম হয়ে যায়, মন চায় একটা থাপ্পড় দিই","ইতেরে দেহিলি আঁর মাথা গরম অই যায়, মন চায় উজ্ঞো সোয়ার দিই"
"ভাই, ঢাকা থেকে চট্টগ্রামের বাস কখন ছাড়বে?","বদ্দা, ঢাহাত্তুন চট্টগ্রামুর বাস হত্তে ছারিবু?"
"মাফ চাই, আমার ভুল হয়েছে থিসিসে এই টপিক নিয়ে","মাফ চাই, আত্তুন ভুল অইয়্যিদে থিসিসুত টপিক ইবে লই"
আমার কাছে সুন্দর একটা বিড়াল আছে,আঁর হাছে সুন্দর উজ্ঞো বিলেই আছে
"ভাই, দাম আমি একটা বলব?","বদ্দা, দাম আঁই এক্কান হইয়্যুম?"
যারা রাগ নিয়ন্ত্রণ করতে পারে না তারা কখনো সুখী হতে পারে না,যারা গুসসা নিয়ন্ত্রন গরিত ন পারে ইতারা হনোদিন সুখী অইত ন পারে
"পুরো মার্কেট ঘুরেছি, কিন্তু পছন্দের একটা কাপড়ও পাই নাই","পুরো মার্কেট ঘুইজ্জি, কিন্তু পছন্দর উজ্ঞো হর অ নো পাই"
"আমার কপাল খারাপ, নাহলে তোমার মতো একটা স্বামী পেতাম না","আঁর হুয়াল হারাপ, নইলি তোঁয়ার মতন উজ্ঞো জামাই ন পাইতাম"
"স্যার, কাগজটায় একটু সই করে দিন, দেরি হয়ে যাচ্ছে","স্যার, হাগজ ইয়েনুত এক্কানা সই গরি দন, দেরি অই যার"
"বারান্দায় মেহমান বসে আছে, গিয়ে নাস্তা দিয়ে আসো","বারান্দাত মেমান বই থেইক্কি, যায়্যিরে নাস্তা দি আইয়্যো"
"এটা গত বছরের ডিজাইন, অন্য ডিজাইন দেখান","ইবে গত বছরুর ডিজাইন, অন্য ডিজাইন দেহন"
জারিফকে বলো তাড়াতাড়ি বাজারে যেতে,জারিফ উরে হ তারাতারি বাজারোত যাইতো
"যদি ওদের পরীক্ষা খারাপ হয়, তাহলে আমি তোমাকেই ধরব","যদি ইতারার পরীক্ষে হারাপ অয়, তইলি আঁই তোঁয়ারেই ধইজ্জুম"
"ঘূর্ণিঝড়ের সতর্কবার্তা দেওয়া হয়েছে, তাই উপকূলের মানুষজন আশ্রয়কেন্দ্রে চলে যাচ্ছে","ঘুর্ণিঝড়ুর সিংগেল দিইয়্যি, এতেল্লে কুলুর মানুষজন আশ্রয়কেন্দ্রত চলি যার"
সন্ধ্যার আগে কিছু একটা করতে না পারলে সবাই এখানে আটকা পড়ব,আজুইন্নের আগে কিছু এক্কান গরিত ন পারিলি বিয়াজ্ঞুন এনডে আটকি ফইজ্জুম
যেখানে আমার কোন দোষ নাই সেখানে তুমি এটা কেমনে করলা,যেনডে আঁর হনো দোষ নাই এনডে তুঁই ইয়েন কেনে গরিলে
ঘরের সবাই কেমন আছে?,ঘরোর বিয়াজ্ঞুন কেন আছে?
"দিদি, তোমার রান্নাঘর তো অনেক সুন্দর","দিদি, তোঁয়ার বসহানা তো বৌত সুন্দর"
কতোদিন পর তুর সাথে দেখা!,হতোদিন পর তুর লাগে দেহা!
বিপদে অনেক সময় প্রতিবেশীরা কাজে আসে,বিপদুত বৌত সময় প্রতিবেশী অক্কল হাজোত আইয়্যি
"কিরে, তোর প্রেমিকার নাকি বিয়ে হয়ে যাচ্ছে?","কিরে, তোর প্রেমিকার বলে বিয়ে অই যার?"
"এই পরিক্ষাটা খারাপ হয়েছে, সামনের পরিক্ষাটা ভাল করে দিতে হবে","এই পরিক্ষে ইবে হারাপ অইয়্যি, সামনোর পরিক্ষে ইবে ভালা গরি দন পরিবো"
"এত খুশি হয়ে লাভ নেই, টুরে যাচ্ছি না আমরা","এল্লেত খুশি অই লাভ নেই, টুরুত ন যাইর আঁরা"
"আজকে মনটা খুব হালকা লাগছে, কারণ অনেকদিনের চিন্তাটা এবার শেষ হলো","আজিয়ে মন ইয়েন বৌত হালকা লাগের, হারন বৌতদিনুর চিন্তে ইয়েন এবার শেষ অইয়্যি"
"কাপড় এটার দাম বেশি, আমি নিব না এটা","হর ইবের দাম বেশি, আঁই লইতাম নো ইবে"
"ঘরে অনেক বেশি মাছি, খাবারগুলো ঢেকে রাখ","ঘরোত বৌত বেশি মাছি, হানা এগিন ঢাহি রাহো"
এই পরিক্ষাটা খারাপ হয়েছে,এই পরিক্ষে ইবে হারাপ অইয়্যি
"আরও নিচে করো, না হলে ধরতে পারব না","আরও নিচে গরো, নইলি ধরিত ন ফারিবে"
"আমার বাড়ি থেকে স্কুল অনেক দুরে, যেতে অনেক কষ্ট হয়","আঁর বারিত্তুন স্কুল বৌত দুরে, যাইতে বৌত হষ্ট অই"
এই রাস্তা দিয়ে রাতে চলাচল নিরাপদ না,এই রাস্তা দি রাতিয়ে চলাচল নিরাপদ ন
তুমি তো অনেক বড় জ্ঞানী হয়ে গেছো!,তুঁই তো বৌত বরো পন্ডিত আই গেইয়্যু!
"সকালে পান্তা ভাত খেয়ে একটু ঘুমিয়েছিলাম, কখন যে দুপুর হয়ে গেল বুঝতেই পারলাম না","বেইন্নে পানি ভাত হাইয়্যিরে এক্কানা ঘুম গেইলাম, হত্তে যে দুইজ্জে অই গেইয়্যি বুঝিত ন ফারি"
"একসময় আমার অনেক আপন ছিলে, আজ পর হয়ে গেলে","একসময় আঁর বৌত আপন আছিলে, আজিয়ে পর অই গেলে"
বেশি গরম লাগলে একটু ঠান্ডা পানি খাও,বেশি গরম লাগিলি এক্কানা ঠান্ডা পানি হ
মুদির দোকানের সামনে গিয়ে একটা কল দিয়েন,মুদির দোয়ানোর সামনে যায় রে উজ্ঞো কল দিয়্যুন
তোমার পরীক্ষা ভালো হয়েছে দেখে আমার মন এমনিতেই ভালো হয়ে গেছে,তোঁয়ার পরীক্ষে ভালা অইয়্যি দেহি আঁর মন এনেই ভালা অই গেইয়্যি
আপুকে দিয়ে এসে আমি ঘরে চলে আসছি,আফারে দি আইয়্যিরে আঁই ঘরুত চলি আইসসি
আমাদের বাস ড্রাইভার অনেক স্পিডে বাস চালাচ্ছিল,আঁরার বাস ড্রাইভার বৌত স্পিডে বাস চালার
"আমার কিছু জিনিস তোমার কাছে থেকে গেছে, সেগুলো দিয়ে দিলে খুশি হতাম","আঁর কিছু জিনিস তোঁয়ার হাছে থাহি গেইয়্যি, এগিন দি দিলি খুশি অইতাম"
"তোমার জন্য এই ওষুধটা রেখেছি, মনে করে খাবে কিন্তু, ঠিক আছে?","তোঁয়ার লাই ওষুধ ইবে রাইক্কি, মনোত গরি হাইবে কিন্তু, ঠিক আছে না?"
পাকিস্তানের মেয়েগুলো এত সুন্দর কেনো?,পাকিস্তানুর মেইফুওয়া এগুন এল্লেত সুন্দর কা?
এবার বেশি করে আম কাঁঠাল নিয়ে তোর বড় আপুকে দেখে আসিস,এবার বেশি গরি আম হাট্টল লই রে তুর বরো আফারে চায় আইস
আমার পেঠ ব্যাথা করছে সেজন্য খেতে পারবনা,আত্তুন পেঠ ব্যাথা গরের দে এতেল্লে হাইত ন পাইজ্জুম
ওরা দুজন মিলে আমার পিছে লাগছে,ইতারা দুনু জন মিলি আঁর পিছুদ্দি লেইজ্ঞি
এটা কি? আজকে প্রথম দেখলাম,ইবে কি? আজিয়ে প্রথম দেহিলাম
অফিসের কাজ এত বেশি যে ঘরে ঠিকমতো সময় দিতে পারি না,অফিসুর হাজ এত বেশি যে ঘরুত ঠিকমতো সময় দিত ন পারির
"এই গেঞ্জিটা একবার ব্যবহার করে দেখেন, যদি ভালো না লাগে তাহলে ফেরত নেব","গেঞ্জি ইবে একবার বেবার গরি সন, যদি ভালা ন লাগে তইলি ফেরত লইয়্যুম"
নানুর বাড়িতে গেলে এবার বেশি বেশি আম খাবো,নানারো বারিত যাইলি এবার বেশি বেশি আম হাইয়্যুম
ভাঙার পর দেখলাম কাঁঠালটি কাঁচা,ভাঙিবের পরে দেহিলাম হাট্টল ইবে কেঁছা
