Chatgaya,Bangla
আ'ছা হইতে লাইজ্ঞুন?,সত্যি বলছেন?
"আলিয়ার জুতা এগিন ছুডো অইয়্যি, এগিন বদলাই আনন ফরিবু","আলিয়ার জুতাগুলো ছোট হয়েছে, ওগুলো পরিবর্তন করে আনতে হবে"
"গেঞ্জি ইবে একবার বেবার গরি সন, যদি ভালা ন লাগে তইলি ফেরত লইয়্যুম","এই গেঞ্জিটা একবার ব্যবহার করে দেখেন, যদি ভালো না লাগে তাহলে ফেরত নেব"
"আজয়ি বন্ধুর বাসাত দঅত আছে, এতেল্লে দুইজ্জে হাইতাম নো","আজকে বন্ধুর বাসায় দাওয়াত আছে, তাই দুপুরে খাব না"
ডেলিভারি পাইতে হতদিন লাগিবু?,ডেলিভারি পেতে কত দিন লাগবে?
"বদ্দা, রাস্তাত এল্লেত জোরে অরন ন দিবেন, আশেপাশুর মানুষজন বিরক্ত অর","ভাই, রাস্তায় এত জোরে হর্ন দেবেন না, আশেপাশের মানুষজন বিরক্ত হচ্ছে"
"পরিবারুর বিয়াজ্ঞুনুর লাই কিছু উপহার লই আইলাম, আশা গরি পছন্দ অইবু","পরিবারের সবার জন্য কিছু উপহার নিয়ে এসেছি, আশা করি পছন্দ হবে"
"স্যার, এক্কানা বইয়্যুন, অঁনোর লাই চিয়ার লই আইসসি","স্যার, একটু বসুন, আপনার জন্য চেয়ার নিয়ে আসছি"
"আঁই বই থেইক্কি, তুঁই কি গরো?","আমি বসে আছি, তুমি কি করো?"
নমস্কার স্যার,নমস্কার স্যার
এতারা দুনু ভাই একলগে অইলিই হইজ্জে শুরু অই যাই,এরা দুই ভাই একসাথে হলেই ঝগড়া শুরু হয়ে যায়
"আরাদিন কারোন ন আছিল, এহন এক্কানা আইসসি, আবারও চলি গেইয়্যি","সারাদিন কারেন্ট ছিল না, এখন একটু এসেছে, আবারও চলে গেছে"
"এল্লেত দামাদামি ন গরি ৫০০ টিয়া রাইক্কুম হর ইবে, লই লন","এত দামাদামি না করে ৫০০ টাকা রাখব কাপড়টা, নিয়ে নিন"
"এহন আত্তুন যে ঘুম পার, মনে অদ্দে ঘুম ন যাইলি মাথা ঘুরি ফরি যাইয়্যুম","এখন আমার যে ঘুম পাচ্ছে, মনে হচ্ছে না ঘুমালে মাথা ঘুরে পড়ে যাব"
"রুমোত ঠান্ডা বাতাস ঢুকের, হারা জানালা বন্ধ গরি দ","রুমে ঠান্ডা বাতাস ঢুকছে, তাড়াতাড়ি জানালা বন্ধ করে দাও"
"আর বেশি সময় বাকি নেই, আরেক্কানা পরে অনুষ্ঠান শুরু অইবু","আর বেশি সময় বাকি নেই, আরেকটু পরে অনুষ্ঠান শুরু হবে"
অতিরিক্ত ঝর ফরিবের হারনে চেরোমিক্কে পানি উডি গেইয়্যি,অতিরিক্ত বৃষ্টি পড়ার কারণে চারদিকে পানি উঠে গেছে
বৌত হদিজ্ঞিন হর জমি আছে,অনেকগুলো কাপড় জমে আছে
"একদাম হই হই বেশি লইতে লাইজ্ঞুন, আঁই লইতাম ন অঁনোর দোয়ানুত্তুন","একদাম বলে বলে বেশি নিচ্ছেন, আমি নেব না আপনার দোকান থেকে"
"অনডে যাই দেহি, চেরোমিক্কে ধুওয়ো আর ধুওয়ো","ওখানে গিয়ে দেখি, চারদিকে ধোঁয়া আর ধোঁয়া"
"বর্ষাহালে হাজ হম থাহে, এতেল্লে বর্ষাহাল আইলি আত্তুন ডর লাগে","বর্ষাকালে কাজ কম থাকে, সেজন্য বর্ষাকাল এলে আমার ভয় লাগে"
"আঁই হনোদিন লঞ্চ উত ন চরি, এবার নইতু লঞ্চ উত গরি যাই","আমি কোনো দিন লঞ্চে চড়িনি, এবার না হয় লঞ্চে করেই যাই"
কি রান্না গরন চাইতাম আইসসি,কি রান্না করেন দেখতে আসছি
"ম্যাম, এল্লেত আর ন অইবু, সত্যি হইদ্দি","ম্যাম, এমনটা আর হবে না, সত্যি বলছি"
"এক্কানা আত লাগন, অঁনে ছারা ইয়েন উরে তোলন সম্ভব নো","একটু হাত লাগান, আপনি ছাড়া এটা ওপরে তোলা সম্ভব না"
"আঁরার পথ এনডেই শেষ নো, আজিয়ে অডি গেই তো কী অইয়্যি","আমাদের পথ এখানেই শেষ না, আজ হেরে গেছি তো কী হয়েছে"
বাসাত পরি ন গেলি পরীক্ষের হল উত আরেকজনুত্তুন সাই সাই লেহন ফরিবু,বাসায় না পড়ে গেলে পরীক্ষার হলে আরেকজনের থেকে দেখে দেখে লিখতে হবে
"আঁরার বাসাত বরো টিভি আছে, বিয়াজ্ঞুন একলগে খেলা চাইয়্যুম","আমাদের বাসায় একটা বড় টিভি আছে, সবাই একসঙ্গে খেলা দেখব"
তোঁয়ার মলিন মুখ দেহিলি আঁর মন এব্বেরে হারাপ অই যায়,তোমার মলিন মুখ দেখলে আমার মন একদম খারাপ হয়ে যায়
"এক্কানা জোরে হতা হও, পিছুত্তুন ঠিকমতো উনিত ন পারির","একটু জোরে কথা বলো, পেছন থেকে ঠিকমতো শুনতে পারছি না"
"বিয়াজ্ঞুন বারিত চলি গেইয়্যি, উধো আঁই এহেল্লে আছি","সবাই বাড়িতে চলে গেছে, শুধু আমি একা আছি"
তুঁই আঁর পিছে পিছে আইয়্যু,তুমি আমার পিছন পিছন আসো
এই কুত্তো ইবের গা'আত্তুন বৌত বাশ যার,এই কুকুরটার শরীর থেকে অনেক গন্ধ যাচ্ছে
"এগুন সাগরুর মাছ, দাম হম ন অইবু","এগুলো সাগরের মাছ, দাম কম হবে না"
"আঁরার রুমুত অবশ্যই এটাচ ওয়াশরুম থাহন ফরিবু, নইলি আঁরা রুম লইতাম নো","আমাদের রুমে অবশ্যই অ্যাটাচড ওয়াশরুম থাকতে হবে, না হলে আমরা রুম নেব না"
"মা, আঁর হরচুর এগিন এক্কানা গুছাই রাহো তো","মা, আমার জামাকাপড়গুলো একটু গুছিয়ে রাখো তো"
তইলি এতোদিন পর আঁর হতা মনোত ফইজ্জি,তাহলে এতোদিন পর আমার কথা মনে পড়ছে
আঁই ন জানি ইতারা কেন গরি এই গরমুর মধ্যে মাডুত ফুটবল খেলের,আমি জানি না এরা কীভাবে এই গরমের মধ্যে মাঠে ফুটবল খেলছে
আত্মীয়ের মধ্যে আত্মীয়তা গরন ভালা ন,আত্মীয়ের মধ্যে আত্মীয়তা করা ঠিক না
"কেন আছস বন্ধু, তুরে বৌতদিন পর দেহিদ্দি",কেমন আছিস বন্ধু? তোকে অনেকদিন পর দেখতাছি
গাধার মতন হথা ন হইস,গাধার মতো কথা বলিস না
বসহানার জানালা ইয়েন বন্ধ গরি দি আইয়্যো,রান্নাঘরের জানালাটা বন্ধ করে দিয়ে আসো
"দরজার বাদ্দি উজ্ঞো ফইর থিয়েই থেইক্কি, চইল এগুন ইবেরে দি আইয়্যু","দরজার বাইরে একটা ভিক্কুক দাঁড়ায় আছে, চাল গুলো উনাকে দিয়ে আসো"
তুঁই হন বিশ্ববিদ্যালয় উত্তুন পরাশোনা গইজ্জো?,তুমি কোন বিশ্ববিদ্যালয় থেকে পড়াশোনা করেছ?
আঁই তোঁয়ার লগে হতা হইতাম চাই,আমি তোমার সাথে কথা বলতে চাই
"তিন দিন ধরি একটানা ঝর ফরের, ঘরুত বই থাকতে আর গম ন লার","তিন দিন ধরে একটানা বৃষ্টি হচ্ছে, ঘরে বসে থাকতে আর ভালো লাগছে না"
নানা বাঁছি থাইকতে আঁরারে বৌত দেইত ফাইত্তো,নানা বেঁচে থাকতে আমাদেরকে অনেক দেখতে পারতেন
এবারোর ঈদুর পাঞ্জাবী ইবে বৌত সুন্দর অইয়্যি,এবারের ঈদের পাঞ্জাবীটা অনেক সুন্দর হয়েছে
আইয়্যু বিয়াজ্ঞুন এক্কত্তরে নাস্তা গরি,আসো সবাই একসাথে নাস্তা করি
"তোঁয়ার নয়া রান্নার রেসিপি ইবে আঁরারেও শিখাইবে হইলে, মনোত আছেনা?","তোমার নতুন রান্নার রেসিপিটা আমাদেরও শিখাবে বলেছিলে, মনে আছে?"
তোঁয়ার দোয়ানুর হর এগিন আত্তুন পছন্দ ন অর,তোমার দোকানের কাপড়গুলো আমার পছন্দ হচ্ছে না
ড্রাইভার উরে হন গারি আরো আস্তে চলাইতু,ড্রাইভারকে বলেন গাড়ি আরও আস্তে চালাতে
"এই ফুওয়া ইবে পইত্তোবার জিনিস সাই চলি যায়, হনো সময় কিছু ন কিনে","এই ছেলেটা প্রতিবার জিনিস দেখে চলে যায়, কোনো সময় কিছু কিনে না"
আত্তুন ফুল গম লাগে আর আঁই বাগান গত্তে পছন্দ গরি,আমার ফুল ভাল লাগে এবং আমি বাগান করতে পছন্দ করি
পিডে হাবি হইয়্যিরে এহন হনডে চলি গেইয়্যুস?,পিঠা খাবি বলে এখন কোথায় চলে গেছিস?
বেইন্নের রইদোত বলে ভিটেমিন ডি আছে,সকালের রোদে নাকি ভিটামিন ডি আছে
আঁর হতা ন উনিলি এরহমই অইবু,আমার কথা না শুনলে এমনই হবে
"কি হবর বিয়াজ্ঞুনোর, বিয়াজ্ঞুন কেন আছো?","কি খবর সবার, সবাই কেমন আছো?"
"এই সপ্তাত যাইতাম ন, সামনোর সপ্তাত্তুন যাইয়্যুম ইনশাআল্লাহ","এই সপ্তাহ যাব না, সামনের সপ্তাহ থেকে যাব ইনশাআল্লাহ"
"টিভির হবোরত দেইক্কিলাম, এই সপ্তাত আবাহাওয়া হারাফ থাহিবু","টিভির খবরে দেখেছিলাম, এই সপ্তাহ আবহাওয়া খারাপ থাকবে"
"এবার বারিত যায়, আজুইন্নে অই গেইয়্যি","এবার বাড়ি যায়, সন্ধ্যা হয়ে গেছে"
ওজু গত্তে কি এক বালতি পানি লাগে!,অজু করতে কি এক বালতি পানি লাগে!
শীতহালে ফইরোর ফানি বেশি ঠান্ডা,শীতকালে পুকুরের পানি বেশি ঠান্ডা
"তুঁই আজিয়ে নো যও, তুঁই চলি যাইলি আত্তুন ভালা ন লাগিবু","তুমি আজ না যাও, তুমি চলে গেলে আমার ভালো লাগবে না"
বসন্তহাল আঁর বিয়াজ্ঞুনুত্তুন বেশি ভালা লাগে,বসন্তকাল আমার সবচেয়ে বেশি ভালো লাগে
লেবুর রস দি গরম গরম ছটফডি বৌত মজা লাগে,লেবুর রস দিয়ে গরম গরম ছটপটি অনেক মজা লাগে
আত্তুন আজিয়ে এক্কানা শরীল হারাপ,আমার আজকে একটু শরীর খারাপ
ফেন ইবে আত্তুন লাম্বা অইবু,প্যান্টটা আমার লম্বা হবে
ইতে তোঁয়ার আংকেলুর লগে হইজ্জে গইত্তো চার,সে তোমার আংকেলের সাথে ঝগড়া করতে চাচ্ছে
"আন্টি, অঁনে তো এহন আর আঁরাত্তুন কিছু ন কিনন","আন্টি, আপনি তো এখন আর আমাদের কাছ থেকে কিছু কেনেন না"
বেইন্নে বিয়াম গরিলি শরীল ভালা থাহে,সকালে ব্যায়াম করলে শরীর ভালো থাকে
আঁরার মসইদুত ঈদুর নামাজ তারাতারি অই যায়,আমাদের মসজিদে ঈদের নামাজ তাড়াতাড়ি হয়ে যায়
মাডোত যাইরে দেহি এনডে কিয়াই নাই,মাঠে গিয়ে দেখি সেখানে কেও নাই
হাম শেষ গরি হত টিয়া পাবি বুঝি লইস,কাজ শেষ করে কত টাকা পাবি বুঝে নিস
আইচ্ছে আঁরা বাসে যাইর নাকি ট্রেনে যাইর?,আচ্ছা আমরা বাসে যাচ্ছি নাকি ট্রেনে যাচ্ছি?
ফুত জি'র লাই মা ছায়ার মতন,ছেলেমেয়ের জন্য মা ছায়ার মতো
"বদ্দা, আঁই কি তোঁয়ারে চিনি?","ভাই, আমি কি তোমাকে চিনি?"
"বদ্দা, গাবৌতলী বাস টার্মিনাল উত্তুন কষ্টিয়ার বাস হত্তুন ছারে?","ভাই, গাবৌতলী বাস টার্মিনাল থেকে কুষ্টিয়ার বাস কোথা থেকে ছাড়ে?"
আঁর আফা বৌত গম,আমার আপু অনেক ভাল
অঁনোর গুরো ফুওয়া ইবে তো বেইন্নে ফজোরত বাইর অই গেইয়্যি,আপনার ছোট ছেলে তো সাত সকালে বের হয়ে গেছে
"যদি তুঁই ঠিক গরি ফেলো হন পথোত যাইতো চো, আঁই পুরো যাত্রাত তোঁয়ার সঙ্গ দিবের লাই প্রস্তুত আছি"," যদি তুমি ঠিক করে ফেলো কোন পথে যেতে চাও, আমি পুরো যাত্রায় তোমার সঙ্গ দিতে প্রস্তুত আছি"
হালিয়ে রাতিয়ে এল্লেত জোরে টাডাল পইজ্জিল দে ঘুম ভাঙি গেইয়্যিল,কাল রাতে এত জোরে বজ্রপাত হয়েছিল যে ঘুম ভেঙে গিয়েছিল
হানোর নিছে দুওয়ো চোয়ার দিয়্যুম যদি আবার টিয়ার হতা হস,কানের নিছে দুইটা থাপ্পর দিব যদি আবার টাকার কথা বলিস
তুঁই বিয়াক কিছু আঁর উদ্দি ছারি দো,তুমি সবকিছু আমার উপার ছেড়ে দাও
"ব্যাপার কি, আজিয়ে তোঁয়ারে বৌত সুন্দার লাগের","ব্যাপার কি, আজকে তোমাকে অনেক সুন্দর লাগতাছে"
আঁর হালা শার্ট ইবে হনডে? থোওয়াই ন পাইদ্দি,আমার কালো শার্টটি কোথায়? খুঁজে পাচ্ছি না যে
তোঁয়ার বদ্দা এহন কি গরে? চঅরি গরে নাকি ব্যাবসা গরে?,"তোমার বড় ভাই এখন কি করে, জব করে নাকি ব্যাবসা করে?"
ইতারা হন? হত্তোন আইসসি?,এরা কারা? কোথা থেকে এলো?
"মনোত গরি চার্জার আর পাওয়ার ব্যাংক লইয়্যু, এনডে চার্জ দিবের ব্যবস্থা নেই","মনে করে চার্জার আর পাওয়ার ব্যাংক নিও, ওখানে চার্জ দেওয়ার ব্যবস্থা নেই"
"আত্তুন এক্কান গুরুত্বপুর্ণ হাজ আছে, যদি দেরি অয় তইলি আঁই ভারা দিতাম ন","আমার একটা গুরুত্বপূর্ণ কাজ আছে, যদি দেরি হয় তাহলে আমি ভাড়া দেব না"
"ডাক্তার হইয়্যি, বেশি গরি বিশ্রাম লন ফরিবু, শরীল দুর্বল অই গেইয়্যি","ডাক্তার বললেন, বেশি করে বিশ্রাম নিতে হবে, শরীর দুর্বল হয়ে গেছে"
"এহন রাইত অই গেইয়্যি, এতেল্লে ভারা এক্কানা বেশি দন ফরিবু","এখন রাত হয়ে গেছে, তাই ভাড়া একটু বেশি দিতে হবে"
"আঁর তো ঠিকমতো মনত নেই, মনে অয় ১৫-২০ দিন অইবু","আমার তো ঠিকমতো মনে নেই, মনে হয় ১৫–২০ দিন হবে"
"উডোনোত বৌত হাচারা অইয়্যি, ঝারু দন ফরিবু আজিয়ে","উঠানে অনেক ময়লা হয়েছে, ঝাড়ু দিতে হবে আজকে"
"তোরে বৌত মিস গরির, তুই ন থাহিলি কিয়ারে জালাইত ন পারি","তোকে অনেক মিস করছি, তুই না থাকলে কাউকে জ্বালাতে পারি না"
"ফোন রিসিভ ন গরের, মনে অয় বিজি","ফোন রিসভ করছেনা, মনে হয় ব্যস্ত"
গত বছরুর তুলনায় এবছর হর উর দাম বৌত বেশি,গত বছরের তুলনায় এ বছর কাপড়ের দাম অনেক বেশি
"কিরে, ব্যাপার কী, আজিয়ে বৌত আ'সিখুশি লাগের!","কিরে, ব্যাপার কী, আজ অনেক হাসিখুশি লাগছে!"
"ঠিক আছে, ইবে প্যাকেট গরি দন","ঠিক আছে, এটা প্যাকেট করে দেন"
জোয়ারুর পানি ঢুকি আঁর বিয়াক ক্ষেতি নষ্ট গরি দিয়্যি,জোয়ারের পানি ঢুকে আমার সব ক্ষেত নষ্ট করে দিল
"সবসময় আসিখুশি থাহিবে, তোঁয়ারে আশিখুশি দেহিলি মিষ্টি লাগে","সবসময় হাসিখুশি থাকবা, তোমাকে হাসিখুশি দেখলে মিষ্টি লাগে"
"তুর আফারে ডাক্তারোর হাছে লই যন ফরিবু, এক্কান সিএনজি লই আয়","তোর আপুকে ডাক্তারের কাছে নিয়ে যেতে হবে, একটা সিএনজি নিয়ে আয়"
"তোঁয়াত্তুন এত চিন্তে গরন পইত্তু ন, আঁর চিন্তে আঁই গইজ্জুম","তোমার এত চিন্তা করতে হবেনা, আমার চিন্তা আমি করব"
"যদি কারোন ন আইয়্যি, তইলি ছাদুত যাই ঘুমাইয়্যুম","যদি কারেন্ট না আসে, তাহলে ছাদে গিয়ে ঘুমাব"
"চলো, আজিয়ে আঁরা ছাদুত শুয় শুয় আকাশুর তারা গনি","চলো, আজকে আমরা ছাদে শুয়ে শুয়ে আকাশের তারা গুনি"
জুতা এগিন বদ্দা আঁরা ঢাহাত্তুন অর্ডার গরি আনি,জুতাগুলো ভাই আমরা ঢাকা থেকে অর্ডার করে আনি
গুরো ফুওয়া অক্কলুর গেম এগিন আঁই খেইলতাম নো,ছোট বাচ্চাদের গেমগুলো আমি খেলব না
শরীল উরে সুস্থ রাহিবের লাই ঘুম বেশি জরুরি,শরীরকে সুস্থ রাখার জন্য ঘুম খুবই জরুরি
আঁর বইন আঁরে হয়দে আঁই বলে বিয়ে গরিলি ইতিরে ভুলি যাইয়্যুম,আমার বোন আমাকে বলে আমি নাকি বিয়ে করলে তাকে ভুলে যাব
"আঁর দাদার বারি নোয়াহালী, এবার ঈদুত আঁরা এনডে যাইয়্যুম","আমার দাদার বাড়ি নোয়াখালী, এবার ঈদে আমরা সেখানে যাব"
বেইন্নে আঁই ভাত হাইতাম নো,সকালে আমি ভাত খাবো না
হুয়া এত বেশি দে সামনে কি আছে কি আছে কিছু বুঝা ন যার,কুয়াশা এত বেশি যে সামনে কী আছে কিছু বোঝা যাচ্ছে না
এই হচুশাক এগিন এক বুধা হত টিয়া?,এই কচুশাকগুলো এক বান্ডিল কত টাকা?
"ইলিশ মাছ আত্তুন বৌত মজা লাগে, কিন্তু কেড়া বেশি অইবের হারনে হাইতু মন ন চায়","ইলিশ মাছ আমার খুব মজা লাগে, কিন্তু কাঁটা বেশি হওয়ার কারণে খেতে মন চায় না"
এতেল্লে এক বস্তা চইল লই আইস্যি,সেজন্য এক বস্তা চাল নিয়ে আসছি
"এহন বাদ্দি যাইতাম ন, বাদ্দি গেলি বৌত সময় নষ্ট অইবু","এখন বাইরে যাব না, বাইরে গেলে অনেক সময় নষ্ট হবে"
"ভাত হায়লাম বৌত আগে, কিন্তু এহনো অজম ন অর","ভাত খেয়েছিলাম অনেক আগে, কিন্তু এখনো হজম হচ্ছে না"
শীতহালে ফইরোত নামি গোসল গরন বৌত বিরক্তিকর,শীতকালে পুকুরে নেমে গোসল করা অনেক বিরক্তিকর
তুঁই আজিয়ে হারা চলি আইস্যু দে?,তুমি আজকে জলদি চলে এলে যে?
চোখ হানা না? সাম্মোদ্দি কি আছে ন দেহর?,চোখ কানা নাকি? সামনে কি আছে দেখছো না?
তুর বাফ আঁর চাচা আর আঁর বাফ তুর চাচা,তোর বাবা আমার চাচা এবং আমার বাবা তোর চাচা
তোঁয়ার হতা উনি রে মন হারাপ অই গেইয়্যি,তোমার কথা শুনে মন খারাপ হয়ে গেল
"রান্না গরা শেষ, এহন অইন নিফেই দ","রান্না করা শেষ, এখন আগুন নিভিয়ে দাও"
ইফতেরুর ফরে মার্কেটুত মানুষ বেশি থাহিবু,ইফতারের পরে মার্কেটে মানুষ বেশি থাকবে
তুঁই কি আঁর লগে হতা হইবে নাকি গুসসা গরি তাহিবে?,তুমি কি আমার সাথে কথা বলবা নাকি রাগ করে থাকবা?
তুই তো দেহির আঁরার গণিত স্যারোর মতন বন্যার মধ্যেও ক্লাসুত চলি আইসসুছ,তুই তো দেখছি আমাদের গণিত স্যারের মতো বন্যার মধ্যেও ক্লাসে চলে আসছিস
আঁর ছোডো ভাই উধো আব্বুরে ডরাই দে,আমার ছোট ভাই শুধু বাবাকে ভয় পায়
মানুষজন আইয়্যিরে আঁর ঘর ইয়েন হাচারা গরি ফেলাইয়্যি,মানুষজন এসে আমার ঘরটা ময়লা করে ফেলেছে
"এই হোটেল ইয়েন স্টেশনুর হাছে আছে কিনা স, হারন ফোওয়াত্তেই ট্রেন ধরন ফরিবু","এই হোটেলটা স্টেশনের কাছে কি না দেখো, কারণ ভোরেই ট্রেন ধরতে হবে"
শারি ইবের হর ভালা অইবু মনে অর,শাড়িটার কাপড় ভালো হবে মনে হচ্ছে
"আজিয়ে মন ইয়েন বৌত হালকা লাগের, হারন বৌতদিনুর চিন্তে ইয়েন এবার শেষ অইয়্যি","আজকে মনটা খুব হালকা লাগছে, কারণ অনেকদিনের চিন্তাটা এবার শেষ হলো"
"আঁর বর্তমান অবস্থা বৌত বাজে, কিরহম বাজে ইয়েন হইবের মতন নো","আমার বর্তমান অবস্থা খুব বাজে, কিরকম বাজে সেটা বলার মতো না"
"একবার আফা তারার লগে মার্কেটুত গেইলাম, আরাদিন আটতে আটতে আঁর টেং বিশ অই গেইয়্যিল এদিন্নে","একবার আপুদের সাথে মার্কেটে গিয়েছিলাম, সারাদিন হাঁটতে হাঁটতে আমার পা ব্যথা হয়ে গিয়েছিল সেদিন"
তোর বাফুরে হ যেন মাছ বাজারুত্তুন হাডি আনে,তোর বাবাকে বল যেন মাছ বাজার থেকে কেটে আনে
বেইন্নে চা ন হাইলি মাথা এব্বেরে হাম ন গরে,সকালে চা না খেলে মাথা একদম কাজ করেনা
"এতদিন ধরি অঁনোর দোয়ানুত্তুন কেনাকাটা গরি, আর অঁনে আত্তুন দাম বেশি লইতে লাইজ্ঞুন!","এতদিন ধরে আপনার দোকান থেকে কেনাকাটা করি, আর আপনি আমার কাছ থেকে দাম বেশি নিচ্ছেন!"
"আম্মু, আঁই দাঁত ব্রাশ গরি আইর, অঁনে আঁর লাই নাস্তা রেডি গরন","মা, আমি দাঁত ব্রাশ করে আসছি, আপনি আমার জন্য নাস্তা রেডি করেন"
"কিছুক্ষনের মধ্যে ঝর আইত ফারে, ছাতি ইয়েন লই যও","কিছুক্ষণের মধ্যে বৃষ্টি আসতে পারে, ছাতাটা নিয়ে যাও"
"বদ্দা, বাস ছারিবের লাই আর হতক্ষন সময় বাকি আছে?","ভাই, বাস ছাড়তে আর কতক্ষণ সময় বাকি আছে?"
তোঁয়াত্তুন কি কি লাগিবু এক্কান লিস্ট গরো,তোমার কি কি লাগবে একটা লিস্ট করো
আরো আছে? আঁই আর ন ফারির,আরও আছে? আমি আর পারছি না
"সামনুর মাসুত আঁই বেশি বিজি থেইক্কুম, এতেল্লে টুরুত যাইত পাইত্তাম ন","সামনের মাসে আমি বেশি ব্যস্ত থাকব, সেজন্য টুরে যেতে পারব না"
"আইচ্ছে, যদি কিছু মনে নগোরন এক্কান হতা ফুস গইজ্জুম?","আচ্ছা, যদি কিছু মনে না করেন একটা কথা জিজ্ঞেস করব?"
তুঁই কি ফঅল না? মাইনষে দেহিলি কি হইবু?,তুমি কি পাগল? মানুষজন দেখলে কি বলবে?
"আঁই এক্কান হইলাম, আর তুঁই আরেক্কান রান্না গইজ্জো","আমি একটা বললাম, আর তুমি আরেকটা রান্না করছ"
"আইচ্ছে ঠিক আছে, আঁই হতা হই চাইয়্যুম ইতের লগে","আচ্ছা ঠিক আছে, আমি কথা বলে দেখব ওর সাথে"
তোঁয়ার হাছে টিয়া আছে? আঁরে কিছু টিয়া উধোর দও,তোমার কাছে টাকা আছে? আমাকে কিছু টাকা ধার দাও
আজিয়েত্তুন তুঁই ফইত্তোদিন বেইন্নে আইট্টো বাইর অইবে,আজ থেকে তুমি প্রতিদিন সকালে হাঁটতে বের হবে
"শার্ট ইবে বৌত সুন্দর, কিন্তু তুর গা'আত ন মানায়","শার্টটা অনেক সুন্দর, কিন্তু তোর গায়ে মানায়নি"
ইয়েন এরহম অই যাইবু দে ইয়েন আঁই বুঝিত ন ফারি,এটা এরকম হয়ে যাবে যে সেটা আমি আগে বুঝতে পারিনি
"আম্মু, আঁর পরীক্ষে হালিয়ে, এতেল্লে আজিয়ে রাতিয়ে তারাতারি হানা দি দও","আম্মু, আমার পরীক্ষা আগামীকাল, তাই আজ রাতে একটু তাড়াতাড়ি খাবার দিয়ে দাও"
ফজোরত এক হাপ চা নো হাইলি নো অই,সকালে এক কাপ চা না খেলে হয় না
"ঝরুর লগে প্রচুর পরিমানে বাতাস, মনে অই এবার বন্যা অইবু","ঝড়ের সঙ্গে প্রচুর পরিমাণে বাতাস, মনে হয় এবার বন্যা আসবে"
"আম্মু, তুঁই এক্কানা বইয়্যু, আঁই বিয়াজ্ঞিন গরির, আজিয়্যে তোঁয়ারে কিছু গইত্তাম দিতাম নো","মা, তুমি একটু বসো, আমি সব করছি, আজকে তোমাকে কিছু করতে দিব না"
গত হালিয়েত্তুন এক্কানুর পর এক্কান বিপদ আইয়্যির,গতকাল থেকে একটার পর একটা বিপদ আসছে
"এবার ঘরুর ছাল ইয়েন ঠিক গরন ফরিবু, নইলি বর্ষাহালে পানি ফরিবু","এবার ঘরের ছালাটা ঠিক করতে হবে, নাহয় বর্ষাকালে পানি পড়বে"
আর দুই-এক্কান শব্দ লেহিলিই আঁরার ডাটাসেট সম্পূর্ণ অই যাইবু,আর দু-একটা শব্দ লিখলেই আমাদের ডাটাসেট সম্পূর্ণ হয়ে যাবে
তোর মোবাইল ইবে কি আঁর হাছে বেছিবি? আত্তুন উজ্ঞো মোবাইল দরহার,তোর মোবাইলটা কি আমার কাছে বিক্রি করবি? আমার একটা মোবাইল দরকার
চিন্তে গরির এই ঈদুত ফ্যামেলি লই সেন্ট মার্টিন ঘুরি আইসসুম,চিন্তা করছি এই ঈদে ফ্যামিলি নিয়ে সেন্ট মার্টিন ঘুরে আসব
এহন হটা বাঝে সা তো আরিফ,এখন কয়টা বাজে দেখ তো আরিফ
"হালিয়ে ঢাহার উদ্দেশ্যে বাইর অইয়্যুম, বিয়াজ্ঞুন বদ্দার লাই দোয়া গইজ্জো","কাল ঢাকার উদ্দেশ্যে বের হব, সবাই ভাইয়ের জন্য দোয়া করিও"
বুডুর গরি রুমুত কা ঢুকি পরস? দরজা নক গরিত ন পারস?,হুট করেই রুমে ঢুকে পড়িস কেন? দরজা নক করতে পারিস না?
"যদি মেইফুওয়া ইবে ভালা অয়, তইলি ইবের লগে হতা হো","যদি মেয়েটা ভালো হয়, তাহলে ওর সঙ্গে কথা বল"
"ইতেরে হইলাম দে আঁর ফুয়ারে চলি আইবের লাই, কিন্তু নো আইয়্যি","ওকে বলেছিলাম আমার সাথে চলে আসার জন্য, কিন্তু আসেনি"
আঁই সাইকেল চালাইত ফারি কিন্তু বাইক চালাইত ন ফারি,আমি সাইকেল চালাতে পারি কিন্তু বাইক চালাতে পারি না
"বদ্দা, কি অবস্থা অঁনোর?","বড়ো ভাই, কি অবস্থা আপনার?"
"আম্মু, আঁর বন্ধু বারিত আইবু, আজিয়ে এক্কানা ভালা কিছু রান্না গরো","আম্মু, আমার বন্ধু বাড়িতে আসবে, আজ একটু ভালো কিছু রান্না করো"
"মানসিক চাপুত থাহিলি ঘুম ন আইয়্যি, আর ঘুম ন অইলি শরীল আরও হারাপ অয়","মানসিক চাপে থাকলে ঘুম আসে না, আর ঘুম না হলে শরীর আরও খারাপ হয়"
বল ইবে যদি আঁর মিক্কে পাস দিতি তইলি গোল দিত ফাইত্তাম,বলটি যদি আমার দিকে পাস দিতি তাহলে গোল দিতে পারতাম
"বেলকনিত বৌত হাচারা অই গেইয়্যি, ধুই দন ফরিবু","বেলকনিতে অনেক ময়লা হয়ে গেছে, ধুয়ে দিতে হবে"
